Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars,Url
101 BEACH,Hawaiian Print Medium Sized Beach Bag Tote,12.95,Blue - Turtle & Hibiscus; Pink - Turtle & Hibiscus; Royal - Hibiscus,NA,NA,NA,Package Dimensions:  14 x 8 x 2 inches; Shipping Weight:  12.8 ounces (View shipping rates and policies); ASIN:  B07169RDWH; ; Date first available at Amazon.com:  April 24 2017; Amazon Best Sellers Rank:  #766772 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#947 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; #947 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A,https://www.amazon.com/Hawaiian-Print-Medium-Sized-Beach/dp/B07169RDWH/ref=sr_1_510
VAS First Response,VAS WATERPROOF DUST RESISTANT SPORTS DRY BOX CASE | ID HOLDER | CREDIT CARDS | LANYARD | MONEY | BADGE | CRUISE | TRAVEL | BEACH | POOL | BOATING,5.89 - 12.95,BLACK; BLUE; CLEAR; GREEN; ORANGE; PINK; PURPLE; RED; WHITE; YELLOW,13 customer reviews,3.2 out of 5 stars,NA,Shipping Weight:  2.2 ounces (View shipping rates and policies); ASIN:  B077VQ73YT; Average Customer Review: 13 customer reviews; Amazon Best Sellers Rank:  #60864 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#106 in Sports & Outdoors > Outdoor Recreation > Water Sports > Kayaking > Dry Bags#539 in Sports & Outdoors > Outdoor Recreation > Water Sports > Water Sports Accessories#1515 in Sports & Outdoors > Sports & Fitness > Boating & Sailing > Boating; #106 in Sports & Outdoors > Outdoor Recreation > Water Sports > Kayaking > Dry Bags; #539 in Sports & Outdoors > Outdoor Recreation > Water Sports > Water Sports Accessories; #1515 in Sports & Outdoors > Sports & Fitness > Boating & Sailing > Boating,5 star (46%),4 star (8%),N/A,2 star (8%),1 star (38%),https://www.amazon.com/VAS-WATERPROOF-BOX-BEACH-BOAT/dp/B00IR0U3TS/ref=sr_1_511
,Disney Mickey Mouse Donald Duck and Goofy Reusable Tote Bag,5.94,,25 customer reviews,4.1 out of 5 stars,NA,Product Dimensions:  13 x 6 x 14 inches; Shipping Weight:  1.6 ounces (View shipping rates and policies); ASIN:  B0072ZH3N8; ; Item model number:  DCM06; Date first available at Amazon.com:  January 29 2012; Amazon Best Sellers Rank:  #181631 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#252 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes#951 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; #252 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; #951 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; Average Customer Review: 25 customer reviews,5 star (64%),4 star (16%),3 star (4%),2 star (8%),1 star (8%),https://www.amazon.com/Disney-Mickey-Mouse-Donald-Reusable/dp/B0072ZH3N8/ref=sr_1_512
Authentic Pigment,Authentic Pigment 14 oz. Pigment-Dyed Large Canvas Tote,16.20,FLAMINGO; Flamingo; GOLDENROD; Goldenrod; JAVA; Java; PUTTY; Putty; SMOKE; Smoke,346 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  12 x 12 x 3 inches; Shipping Weight:  13.6 ounces (View shipping rates and policies); ASIN:  B000YVYRMM; ; Item model number:  M47972-Smoke-OS; Date first available at Amazon.com:  October 4 2003; Amazon Best Sellers Rank:  #91935 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#402 in Clothing Shoes & Jewelry > Women > Handbags & Wallets > Totes#47195 in Clothing Shoes & Jewelry > Women > Shops; #402 in Clothing Shoes & Jewelry > Women > Handbags & Wallets > Totes; #47195 in Clothing Shoes & Jewelry > Women > Shops; Average Customer Review: 346 customer reviews,5 star (65%),4 star (18%),3 star (6%),2 star (6%),1 star (5%),https://www.amazon.com/Authentic-Pigment-Large-Canvas-smoke/dp/B000YVYRMM/ref=sr_1_513
Kipling,Kipling Women's Felix Printed Handbag One Size Splashy Maze,59.99,,NA,NA,NA,Package Dimensions:  14.1 x 9 x 1.4 inches; Shipping Weight:  1 pounds (View shipping rates and policies); ASIN:  B076FDR8DX; ; Item model number:  42-100235233; Date first available at Amazon.com:  October 17 2017; Amazon Best Sellers Rank:  #356627 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#466 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes#1776 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; #466 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; #1776 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A,https://www.amazon.com/Kipling-Womens-Printed-Handbag-Splashy/dp/B076FDR8DX/ref=sr_1_514
,Folding Tote Bags 2-piece Collapsible Travel Tote Bag Set Folding Tote Bag Pair,9.99,NavyPurple; OrangeGreen; Pink; Turquoise,20 customer reviews,4.6 out of 5 stars,NA,Package Dimensions:  10.1 x 9.5 x 2.6 inches; Shipping Weight:  12 ounces (View shipping rates and policies); ASIN:  B01M8NHS9F; ; Item model number:  A-B-LBNT/MBNT; Date first available at Amazon.com:  October 25 2016; Amazon Best Sellers Rank:  #169962 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#230 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; #230 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; Average Customer Review: 20 customer reviews,5 star (70%),4 star (25%),3 star (5%),N/A,N/A,https://www.amazon.com/Foldable-2-piece-Collapsible-Folding-NavyPurple/dp/B01M8NHS9F/ref=sr_1_515
,Tumi Voyageur Leather Carolina Travel Tote,395.00,,1 customer review,5.0 out of 5 stars,NA,Product Dimensions:  5 x 13 x 10.5 inches; Shipping Weight:  2.4 pounds (View shipping rates and policies); ASIN:  B071S64816; ; Item model number:  17006; Date first available at Amazon.com:  July 19 2017; Amazon Best Sellers Rank:  #1099830 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1383 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes#4885 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; #1383 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; #4885 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; Average Customer Review: 1 customer review,5 star (100%),N/A,N/A,N/A,N/A,https://www.amazon.com/Tumi-Womens-Voyageur-Leather-Carolina/dp/B071S64816/ref=sr_1_516
MuYiZi,Foldable Travel Tote Beach Bag Canvas Shoulder Bag With Inner Pocket (Super big 24" x 10" x 17") ¡­,12.99,,7 customer reviews,5.0 out of 5 stars,Package Dimensions: 8 x 3 x 0.2 inches; Item Weight: 4.8 ounces; Shipping Weight: 4.8 ounces (View shipping rates and policies); Manufacturer: MuYiZi; ASIN: B078QX1619; Customer Reviews: 7 customer reviews5.0 out of 5 stars; Best Sellers Rank: #165115 in Kitchen & Dining (See Top 100 in Kitchen & Dining)#618 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; Date first available at Amazon.com: December 31 2017,NA,5 star (100%),N/A,N/A,N/A,N/A,https://www.amazon.com/Foldable-Travel-Canvas-Shoulder-Pocket/dp/B078QX1619/ref=sr_1_517
BadgeBeast,I Love Oranges - Cotton Bag,6.99 - 9.99,,NA,NA,NA,Shipping Information:  View shipping rates and policies; ASIN:  B076GN88WB; ; Date first available at Amazon.com:  October 15 2017; Amazon Best Sellers Rank:  #1238691 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1589 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes#5509 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; #1589 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; #5509 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A,https://www.amazon.com/Love-Oranges-Cotton-Maxi-Shopping/dp/B076GKWFJ4/ref=sr_1_518
,Havaianas Mini Bag Metallic Travel Purse,13.91,Rose Gold; Steel Grey,3 customer reviews,3.5 out of 5 stars,NA,Product Dimensions:  5.8 x 1 x 3.5 inches; Shipping Weight:  3.2 ounces (View shipping rates and policies); ASIN:  B06XD1NPTL; ; Item model number:  4137731-3581-998; Date first available at Amazon.com:  April 30 2017; Amazon Best Sellers Rank:  #303585 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#387 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes#1522 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; #387 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Totes; #1522 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage; Average Customer Review: 3 customer reviews,5 star (67%),N/A,N/A,N/A,1 star (33%),https://www.amazon.com/Havaianas-Womens-Metallic-Travel-Purse/dp/B06XD1NPTL/ref=sr_1_519
