Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars
,Herschel Supply Co. Novel Duffle Bag,65.00,Black Grid; Black/Black; Black/Blueprint/White; Black/Tan; Canteen Crosshatch; Eclipse Crosshatch; Grey/Tan; Navy; Navy/Tan; Ocean Depths Grid; Raven Crosshatch; Windsor Wine Grid/Black; Windsor Wine/tan; Winetasting Crosshatch,751 customer reviews,4.2 out of 5 stars,NA,Product Dimensions:  11 x 20.5 x 11.5 inches; Shipping Weight:  2.15 pounds (View shipping rates and policies); Shipping Advisory:  This item must be shipped separately from other items in your order. Additional shipping charges will not apply.; ASIN:  B0077CLHGK; ; Item model number:  10026-00007-OS; Date first available at Amazon.com:  August 8 2005; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #2442 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#6 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #6 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 751 customer reviews,5 star (59%),4 star (15%),3 star (9%),2 star (7%),1 star (10%)
Ledmark,Ledmark Heavyweight Cotton Canvas Outback Duffle Bag,25.99 - 149.99,Green; Black,684 customer reviews,4.6 out of 5 stars,NA,Shipping Information:  View shipping rates and policies; ASIN:  B00BHLBCTO; Average Customer Review: 684 customer reviews; Amazon Best Sellers Rank:  #1807 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#8 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #8 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (72%),4 star (18%),3 star (4%),2 star (3%),1 star (3%)
,Olympia USA 33 Inch 8 Pocket Rolling Duffel,42.99,Black; Black w/ Beige - Exclusive Color; Charcoal Gray w/ Black - Exclusive Color; Dark Lavender; Green; Hot Pink; Navy; Navy w/ Black - Exclusive Color; Red; Royal Blue,1158 customer reviews,3.7 out of 5 stars,NA,Package Dimensions:  32 x 12 x 5 inches; Shipping Weight:  6.7 pounds (View shipping rates and policies); ASIN:  B075M3XB74; ; Date first available at Amazon.com:  September 13 2017; Amazon Best Sellers Rank:  #2324 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry); Average Customer Review: 1158 customer reviews,5 star (54%),4 star (16%),3 star (8%),2 star (7%),1 star (15%)
,Olympia Luggage 22" 8 Pocket Rolling Duffel Bag,27.97,Black; Black / Gray; Black w/ Beige - Exclusive Color; Black+chevron; Black+red; Black/Lime; Black/Purple; Black/Yellow; Charcoal Gray w/ Black - Exclusive Color; Dark Lavender; Gray+lime; Green; Hot Pink; Navy; Navy / Gray; Purple/Grey; Red; Royal Blue,1621 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  12 x 12 x 22 inches; Shipping Weight:  4.9 pounds (View shipping rates and policies); ASIN:  B00144MBWQ; ; Item model number:  srd-22-Black-One Size; Date first available at Amazon.com:  March 16 2004; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #1131 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #1 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1621 customer reviews,5 star (62%),4 star (19%),3 star (8%),2 star (5%),1 star (6%)
Plambag,Plambag Unisex's Canvas Duffel Bag Oversized Travel Tote Luggage Bag,29.99,Grey; Army Green; Coffee; Dark Grey,739 customer reviews,4.3 out of 5 stars,NA,Shipping Weight:  3 pounds (View shipping rates and policies); ASIN:  B071CGD1TX; Item model number:  PB058DG; Average Customer Review: 739 customer reviews; Amazon Best Sellers Rank:  #1169 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #3 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (69%),4 star (14%),3 star (6%),2 star (6%),1 star (5%)
,Samsonite Tote-A-Ton 32.5 inch Duffel,20.24,Black; Purple; Red; Turquiose,1875 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  33 x 17 x 11.5 inches; Shipping Weight:  2 pounds (View shipping rates and policies); ASIN:  B003KR1K4A; ; Item model number:  41210; Date first available at Amazon.com:  June 18 2010; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #2087 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#4 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #4 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1875 customer reviews,5 star (71%),4 star (17%),3 star (6%),2 star (3%),1 star (3%)
Dakine,Dakine - Unisex Split Roller Luggage Bag - Durable Construction - Split-WingCollapsible Brace Level - Exterior Quick Access Pockets - Multiple Color Choices - 85L and 110L,167.96 - 435.91,Black; Burnt Rose; Carbon; Copper; Cortez; Dark Navy; Field Camo; Fireside II; Kalea; Stacked; Furrow,97 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  13 x 32 x 17 inches ; 12.1 pounds; Shipping Weight:  15 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B07543BV2D; Item model number:  10000783; Average Customer Review: 97 customer reviews; Amazon Best Sellers Rank:  #6486 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#151 in Sports & Outdoors > Outdoor Recreation > Winter Sports > Snowboarding; #151 in Sports & Outdoors > Outdoor Recreation > Winter Sports > Snowboarding,5 star (82%),4 star (6%),3 star (9%),2 star (1%),1 star (2%)
Gonex,Gonex 60L Packable Travel Duffle Bag Lightweight Water& Tear Resistant,23.99,Black; Blue; Dark Green; Deep Blue; Gold; Gray; Green; MARPAT Desert; MARPAT Woodland; Multicam; Purple; Red; Rose Red; Typhon,543 customer reviews,4.6 out of 5 stars,NA,Shipping Weight:  2 pounds (View shipping rates and policies); ASIN:  B075LGCZNR; Average Customer Review: 543 customer reviews; Amazon Best Sellers Rank:  #931 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#76 in Clothing Shoes & Jewelry > Luggage & Travel Gear; #76 in Clothing Shoes & Jewelry > Luggage & Travel Gear,5 star (76%),4 star (17%),3 star (4%),2 star (1%),1 star (2%)
,Delsey Quilted Rolling UnderSeat Tote- EXCLUSIVE,89.99,Black; Navy; Teal,611 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  9 x 14.5 x 14 inches; Shipping Weight:  6.95 pounds (View shipping rates and policies); ASIN:  B00BT79GOY; ; Date first available at Amazon.com:  March 13 2013; Amazon Best Sellers Rank:  #7933 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#13 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #13 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 611 customer reviews,5 star (65%),4 star (20%),3 star (7%),2 star (4%),1 star (4%)
,Rockland Luggage 22 Inch Rolling Duffle Bag,24.65,Black; Black/pink dot; Blackdot; Blue Leopard; Brown; Brown Giraffe Print; Camouflage; Charcoal; Heart1; Hearts (New); Icon; Kensington black/white; Leopard Print; Lime zebra; Magenta Leopard; Mulblue Dot; Multiple pink dot; Navy; New black dot; Orange; Orange/Black; Owl; Peace; Pink; Pink Chevron; Pink Leopard; Pink Peace; Pink Polka Dot (New); Pink Vegas; Pink Zebra; Pink giraffe; PinkBandana; Pucci; Purple pearl; Turquoise; Zebra,1684 customer reviews,3.8 out of 5 stars,NA,Product Dimensions:  22 x 12 x 11 inches; Shipping Weight:  4.3 pounds (View shipping rates and policies); ASIN:  B000SRL6TY; ; California residents:  Click here for Proposition 65 warning; Item model number:  PRD322-BLACK; Date first available at Amazon.com:  August 22 2007; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #1962 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1684 customer reviews,5 star (53%),4 star (17%),3 star (9%),2 star (8%),1 star (13%)
,AmazonBasics Large Duffel Bag Black,19.99,,122 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  32.5 x 17 x 17 inches; Shipping Weight:  2.25 pounds (View shipping rates and policies); ASIN:  B01GGNW2WI; ; Item model number:  ZH1603219R1; Date first available at Amazon.com:  September 9 2016; Amazon Best Sellers Rank:  #2141 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#5 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #5 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 122 customer reviews,5 star (72%),4 star (19%),3 star (3%),2 star (3%),1 star (3%)
bago,Bago Travel Duffel Bag For Women & Men - Foldable Duffle For Luggage Gym Sports,24.95 - 64.08,23"-Black; 23"-Blue; 23"-Camo; 23"-DeepBlue; 23"-Green; 23"-Pink; 23"-Purple; 23"-Red; 27"-Black; 27"-Blue; 27"-Camo; 27"-DeepBlue; 27"-Purple; 27"-Red; 27"-green; 27"-pink,2021 customer reviews,4.7 out of 5 stars,NA,Shipping Information:  View shipping rates and policies; ASIN:  B013M38P8A; Average Customer Review: 2021 customer reviews; Amazon Best Sellers Rank:  #1621 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#7 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #7 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (79%),4 star (15%),3 star (3%),2 star (1%),1 star (2%)
Gonex,Gonex 80L Packable Travel Duffle Bag Large Lightweight Luggage Duffel 10 Color Choices,26.99,Black2; Blue2; Dark Green; Deep Blue2; Gold2; Gray2; Green2; MARPAT Desert; MARPAT Woodland; Multicam; Purple2; Red2; Rose Red2; Typhon,600 customer reviews,4.6 out of 5 stars,NA,Shipping Weight:  1.7 pounds (View shipping rates and policies); ASIN:  B075LGCX7Q; Average Customer Review: 600 customer reviews; Amazon Best Sellers Rank:  #2599 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#277 in Clothing Shoes & Jewelry > Luggage & Travel Gear; #277 in Clothing Shoes & Jewelry > Luggage & Travel Gear,5 star (78%),4 star (14%),3 star (3%),2 star (2%),1 star (3%)
BLUBOON,Weekender Overnight Bag Canvas Genuine Leather Travel Duffel Tote,56.99,Army Green; Coffee; Dark Grey; Grey; Mint Green,347 customer reviews,4.4 out of 5 stars,NA,Product Dimensions:  21.2 x 16.5 x 9 inches; Shipping Weight:  3.6 pounds (View shipping rates and policies); ASIN:  B01AUIAOJ8; ; California residents:  Click here for Proposition 65 warning; Item model number:  BLUBOON; Date first available at Amazon.com:  January 20 2016; Amazon Best Sellers Rank:  #6767 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#10 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #10 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 347 customer reviews,5 star (75%),4 star (11%),3 star (5%),2 star (4%),1 star (5%)
,Vera Bradley Large Duffel Signature Cotton,42.50,Alpine Floral; Autumn Leaves; Blue Bandana; Bohemian Blooms; Bohemian Chevron; Camocat; Concerto; Cuban Stamps; Falling Flowers; Havana Rose; Houndstooth Tweed; Imperial Rose; Java Floral; Kiev Paisley; Lilac Tapestry; Modern Medley; Northern Lights; Northern Stripes; Painted Feathers; Rain Forest; Rumba,264 customer reviews,4.7 out of 5 stars,NA,Product Dimensions:  11.5 x 22 x 11.5 inches; Shipping Weight:  1.8 pounds (View shipping rates and policies); ASIN:  B06ZZ4KXT2; ; Item model number:  15460; Date first available at Amazon.com:  June 15 2017; Amazon Best Sellers Rank:  #11019 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#24 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #24 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 264 customer reviews,5 star (88%),4 star (7%),3 star (1%),2 star (2%),1 star (2%)
,Briggs & Riley Baseline Large Expandable 28" Spinner,629.00,Black; Navy; Olive,19 customer reviews,4.7 out of 5 stars,NA,Product Dimensions:  11 x 20 x 28 inches; Shipping Weight:  15.6 pounds (View shipping rates and policies); ASIN:  B00XDI6ZZU; ; Item model number:  U128CXSP-7; Date first available at Amazon.com:  May 28 2013; Amazon Best Sellers Rank:  #98224 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#131 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; #131 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Suitcases; Average Customer Review: 19 customer reviews,5 star (84%),4 star (11%),3 star (5%),N/A,N/A
,Spinner Underseater with USB Port,109.99,Black; Majolica Blue; Pewter; Port Wine; Potent Purple,40 customer reviews,4.2 out of 5 stars,NA,Product Dimensions:  9 x 16.5 x 13.5 inches; Shipping Weight:  6.65 pounds (View shipping rates and policies); ASIN:  B072JX711F; ; Date first available at Amazon.com:  June 6 2017; Amazon Best Sellers Rank:  #17117 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#17 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; #17 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; Average Customer Review: 40 customer reviews,5 star (60%),4 star (15%),3 star (13%),2 star (5%),1 star (7%)
NIKE,Nike Brasilia Medium Duffel Bag Unisex,39.99,Black/White; Dark Team Red; Flint Grey/Black/White; Game Royal/Black/White; Light Photo Blue/Black-white; Max Orange/Black/White; Midnight Navy/Black/White; Purple; University Red/Black/White,36 customer reviews,4.2 out of 5 stars,NA,Product Dimensions:  27.9 x 11 x 13 inches; Shipping Weight:  1.5 pounds (View shipping rates and policies); ASIN:  B01GWKQO0G; ; Item model number:  BA5334-657; Date first available at Amazon.com:  January 25 2017; Amazon Best Sellers Rank:  #9681 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#20 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #20 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 36 customer reviews,5 star (69%),4 star (14%),3 star (3%),2 star (8%),1 star (6%)
,adidas Diablo Small Duffel Limited Edition Colors- Exclusive,19.99,,355 customer reviews,4.6 out of 5 stars,NA,Product Dimensions:  10 x 18.5 x 11 inches; Shipping Weight:  1.1 pounds (View shipping rates and policies); ASIN:  B077STL46R; ; Date first available at Amazon.com:  November 28 2017; Amazon Best Sellers Rank:  #4516 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#19 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; #19 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; Average Customer Review: 355 customer reviews,5 star (78%),4 star (13%),3 star (7%),2 star (1%),1 star (1%)
Texsport,Texsport Zipper Canvas Duffle Duffel Roll Travel Sports Equipment Bag,14.39 - 52.99,Black; Olive Drab,307 customer reviews,4.6 out of 5 stars,NA,Shipping Weight:  1 pounds (View shipping rates and policies); Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; ASIN:  B0051DV35W; Item model number:  104-Duffel Bag; Average Customer Review: 307 customer reviews; Amazon Best Sellers Rank:  #18531 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#77 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #77 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels,5 star (72%),4 star (20%),3 star (4%),2 star (2%),1 star (2%)
,Everest Luggage Sporty Gear Bag - Large,19.19,Black; Black 20x10x10 inch + Sunglasses; Black Set of 2; Blue 20x10x10 inch + Sunglasses; Dark Purple; Grey; Navy/Black; Orange; Red/Black; Royal Blue; Royal Blue - Black,1766 customer reviews,3.8 out of 5 stars,NA,Product Dimensions:  11 x 25 x 11 inches; Shipping Weight:  3 pounds (View shipping rates and policies); ASIN:  B009ZNI49C; ; Date first available at Amazon.com:  December 16 2010; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #9005 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#16 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #16 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1766 customer reviews,5 star (53%),4 star (18%),3 star (11%),2 star (8%),1 star (10%)
Ulgoo,Ulgoo Travel Duffel Bag Canvas Bag PU Leather Weekend Bag Overnight,39.99,Black; Grey,20 customer reviews,4.4 out of 5 stars,NA,Package Dimensions:  14.5 x 11 x 2.1 inches; Shipping Weight:  2.54 pounds (View shipping rates and policies); ASIN:  B01GQIUUFY; ; Item model number:  10021-F1; Date first available at Amazon.com:  August 17 2016; Amazon Best Sellers Rank:  #133826 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#216 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; #216 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; Average Customer Review: 20 customer reviews,5 star (75%),4 star (10%),3 star (10%),N/A,1 star (5%)
Travelers Club,Travelers Club 30" ADVENTURE Rolling 2-Tone Multi-Pocket Large Packing Capacity Duffel with BONUS Bottom Compartment Navy and Gray Color Option,30.08,Black; Navy and Gray; Yellow and Black,99 customer reviews,3.5 out of 5 stars,Product Dimensions: 33.9 x 13.2 x 14 inches; Item Weight: 3.59 pounds; Shipping Weight: 5.25 pounds (View shipping rates and policies); Department: unisex-adult; Manufacturer: Travelers Club Luggage; ASIN: B008PH8E9Y; Domestic Shipping: Item can be shipped within U.S.; International Shipping: This item can be shipped to select countries outside of the U.S. Learn More; California residents: Click here for Proposition 65 warning; Item model number: 57030410; Customer Reviews: 99 customer reviews3.5 out of 5 stars,NA,5 star (43%),4 star (13%),3 star (11%),2 star (10%),1 star (23%)
,SUVOM Leather Overnight Duffle Bag Canvas Travel Tote Duffel Weekend Bag Luggage,46.99,Black; Army green; Dark grey; coffe,292 customer reviews,4.6 out of 5 stars,NA,Product Dimensions:  22 x 9 x 12 inches; Shipping Weight:  3.4 pounds (View shipping rates and policies); ASIN:  B06Y4NNXPX; ; Date first available at Amazon.com:  April 3 2017; Amazon Best Sellers Rank:  #14728 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#30 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels#53 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; #30 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #53 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; Average Customer Review: 292 customer reviews,5 star (82%),4 star (9%),3 star (3%),2 star (3%),1 star (3%)
,Fila Sprinter Small Gym Sport Duffel Bag,18.80,Blue/Neon; Purple/Teal; Static Pink; Teal/Purple,71 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  19 x 10 x 10 inches; Shipping Weight:  1.55 pounds (View shipping rates and policies); ASIN:  B019RTW7BE; ; Item model number:  FL-SD-2719-PLTL; Date first available at Amazon.com:  January 14 2016; Amazon Best Sellers Rank:  #7083 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#11 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels#25 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; #11 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #25 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; Average Customer Review: 71 customer reviews,5 star (80%),4 star (11%),3 star (2%),2 star (1%),1 star (6%)
NPUSA,Mens Large 30" Inch Duffel Duffle Military Molle Tactical Cargo Gear Shoulder Bag,48.75,Black; Tan; ACU Digital Camo; Gunmetal Grey; OD Green; Urban Camo; ACU Navy Digital Camo; DM Tan; Hunters Camo; Multicam,385 customer reviews,4.2 out of 5 stars,NA,Item Weight:  4 pounds; Shipping Weight:  4.3 pounds (View shipping rates and policies); ASIN:  B01E7W7VP8; Item model number:  TF130GMG-EFA; Average Customer Review: 385 customer reviews; Amazon Best Sellers Rank:  #5493 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#31 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Hunting > Gun Accessories Maintenance & Storage > Gun Holsters Cases & Bags > Bags & Packs > Tactical Bags & Packs#162 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Tactical & Personal Defense#360 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Shooting; #31 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Hunting > Gun Accessories Maintenance & Storage > Gun Holsters Cases & Bags > Bags & Packs > Tactical Bags & Packs; #162 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Tactical & Personal Defense; #360 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Shooting,5 star (70%),4 star (12%),3 star (9%),2 star (4%),1 star (5%)
,Rockland Luggage 19 Inch Tote Bag,17.39,Black; BANDANA; Big black dot; Black Dot; Camo; Green Camo; Hearts; Multi Colored Peace; Multi pink dots; Owl; Peace multi; Pink Leopard; Pink dots; Pink giraffe; Polka Dot; Yellow Zebra; Zebra; Zebra/Lime,914 customer reviews,4.5 out of 5 stars,NA,Product Dimensions:  19 x 10.5 x 8.5 inches; Shipping Weight:  1.55 pounds (View shipping rates and policies); ASIN:  B002B4K5Z8; ; California residents:  Click here for Proposition 65 warning; Item model number:  PTB419-BLACK; Date first available at Amazon.com:  June 25 2009; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #9408 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#19 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #19 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 914 customer reviews,5 star (67%),4 star (15%),3 star (8%),2 star (4%),1 star (6%)
,Samsonite Luggage 22 Inch Andante Wheeled Duffel,26.99,Black; Black-Red; Black/Grey; Black/Red; Grey/Lime,998 customer reviews,4.0 out of 5 stars,NA,Product Dimensions:  22 x 12.5 x 12 inches; Shipping Weight:  6.4 pounds (View shipping rates and policies); ASIN:  B008HY6HSA; ; Item model number:  48825; Date first available at Amazon.com:  May 30 2012; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #12794 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#14 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; #14 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Luggage > Carry-Ons; Average Customer Review: 998 customer reviews,5 star (52%),4 star (23%),3 star (10%),2 star (7%),1 star (8%)
NIKE,Nike Brasilla Small Duffel Bag,32.99,Black/White; Dark Team Red/Black/White; Flint Grey/Black/White; Game Blue/Black-white; Light Aqua/Black/White; Light Photo Blue; Max Orange/Black/White; Midnight Navy/Black/White; Rush Pink/Black/White; University Red/Black/White; Vivid Pink/Black/White; purple,28 customer reviews,4.1 out of 5 stars,NA,Product Dimensions:  20.1 x 10 x 11 inches; Shipping Weight:  1.1 pounds (View shipping rates and policies); ASIN:  B01GWLHETK; ; Item model number:  BA5335-010; Date first available at Amazon.com:  January 12 2017; Amazon Best Sellers Rank:  #19190 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#64 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; #64 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Gym Bags > Sports Duffels; Average Customer Review: 28 customer reviews,5 star (64%),4 star (11%),3 star (18%),N/A,1 star (7%)
NPUSA,Mens Large 22" Duffel Duffle Military Molle Tactical Gear Shoulder Strap Travel Bag,39.95,Black; Tan; Camo/Pink; ACU Digital Camo; GUNMETAL GREY; OD Green; Urban Camo; ACU Navy Digital Camo; DM Tan; Hunter Camo; Marine Digital Camo,221 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  12 x 9.9 x 9 inches ; 2.77 pounds; Shipping Weight:  2.8 pounds (View shipping rates and policies); ASIN:  B01M3PQPFF; Item model number:  42526; Average Customer Review: 221 customer reviews; Amazon Best Sellers Rank:  #3476 in Sports & Outdoors (See Top 100 in Sports & Outdoors)#15 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Hunting > Gun Accessories Maintenance & Storage > Gun Holsters Cases & Bags > Bags & Packs > Tactical Bags & Packs#94 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Tactical & Personal Defense#197 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Shooting; #15 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Hunting > Gun Accessories Maintenance & Storage > Gun Holsters Cases & Bags > Bags & Packs > Tactical Bags & Packs; #94 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Tactical & Personal Defense; #197 in Sports & Outdoors > Sports & Fitness > Hunting & Fishing > Shooting,5 star (64%),4 star (15%),3 star (9%),2 star (6%),1 star (6%)
,Eagle Creek No Matter What Rolling Duffel - Extra Large,133.19,Black; Cobalt; Firebrick; Olive; Red Clay; Slate Blue,95 customer reviews,4.3 out of 5 stars,NA,Product Dimensions:  36 x 14 x 15 inches; Shipping Weight:  4.45 pounds (View shipping rates and policies); ASIN:  B00AYXKL9S; ; Item model number:  EC-20422125; Date first available at Amazon.com:  July 19 2013; ; Domestic Shipping:  Item can be shipped within U.S.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #41214 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#71 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #71 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 95 customer reviews,5 star (73%),4 star (11%),3 star (4%),2 star (7%),1 star (5%)
