Brand,Name,Price,Styles,Review Count,Star Rating,Product Details,Product Details Alt,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars
FINELAER,Leather Carry on Luggage Weekend Overnight Travel Gym Duffle Bag Brown for Men Women,NA,,NA,NA,NA,Product Dimensions:  13.2 x 21 x 10 inches; Shipping Weight:  4.25 pounds; ASIN:  B01N2IF1OM; ; Item model number:  FINE-037A; Date first available at Amazon.com:  November 24 2016; Amazon Best Sellers Rank:  #1810949 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2475 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2475 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Pack It Up,Pack It Up 22" Carry-On Weekender Duffel Bag,NA,Black/White; Black/White/Pink; Pink Stripe; Teal Chevron; Teal Stripe,1 customer review,4.0 out of 5 stars,NA,Product Dimensions:  1 x 2 x 3 inches; Shipping Weight:  1.45 pounds; ASIN:  B06XYW43B3; ; Item model number:  10446500; Date first available at Amazon.com:  March 31 2017; Amazon Best Sellers Rank:  #292126 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#477 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #477 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1 customer review,N/A,4 star (100%),N/A,N/A,N/A
,A X Armani Exchange Quilted PU Mini Duffle Bag,160.00,Black; Navy,1 customer review,5.0 out of 5 stars,NA,Package Dimensions:  13.3 x 8.4 x 7.1 inches; Shipping Weight:  1.65 pounds (View shipping rates and policies); ASIN:  B01JGL7SKS; ; Item model number:  942026 6A070; Date first available at Amazon.com:  October 10 2016; ; Domestic Shipping:  Currently item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments please check with the manufacturer regarding warranty and support issues.; International Shipping:  This item is not eligible for international shipping. Learn More; Amazon Best Sellers Rank:  #1348991 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1898 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #1898 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1 customer review,5 star (100%),N/A,N/A,N/A,N/A
InterestPrint,InterestPrint Unique Design Duffel Bag Travel Tote Bag Handbag Luggage,27.99,Autumn; Butterfly; Cosmic; Forest; Halloween; Japanese; Music; Paisley; Quote; Shark; Starry Night; Tiger; Unicorn; Union Jack; Wolf,NA,NA,NA,Product Dimensions:  12.4 x 7.3 x 12.3 inches; Shipping Weight:  1.31 pounds (View shipping rates and policies); ASIN:  B078S49PT8; ; Date first available at Amazon.com:  December 20 2017; Amazon Best Sellers Rank:  #1870909 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2552 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2552 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
InterestPrint,InterestPrint Fire Basketball Duffel Bag Travel Tote Bag Handbag Luggage,27.99,,NA,NA,NA,Product Dimensions:  12.4 x 7.3 x 12.3 inches; Shipping Weight:  1.31 pounds (View shipping rates and policies); ASIN:  B078XRYVH8; ; Date first available at Amazon.com:  December 20 2017; Amazon Best Sellers Rank:  #1689239 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2347 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2347 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Time Resistance,Leather Travel Bag Duffel Bag Leather Weekender Bag Unisex - Time Resistance,280.00,Black; Brown,1 customer review,5.0 out of 5 stars,NA,Product Dimensions:  19.7 x 11.4 x 11 inches; Shipping Weight:  4.23 pounds (View shipping rates and policies); ASIN:  B00VWKS6DU; ; Item model number:  1174101; Date first available at Amazon.com:  April 10 2015; Amazon Best Sellers Rank:  #3409916 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#4407 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #4407 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1 customer review,5 star (100%),N/A,N/A,N/A,N/A
NexPak USA,15" Mens Military Molle Tactical Gear Duffle Range Shoulder Strap Travel Bag TF115 BK Black,27.50,,1 customer review,5.0 out of 5 stars,NA,Package Dimensions:  13.5 x 12 x 3.5 inches; Shipping Weight:  1.9 pounds (View shipping rates and policies); ASIN:  B01HFQTBZ6; ; Item model number:  CNBTF115-BLK; Date first available at Amazon.com:  August 4 2016; Amazon Best Sellers Rank:  #506329 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#771 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #771 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review: 1 customer review,5 star (100%),N/A,N/A,N/A,N/A
,Parkland Peak Duffle Duffel Bag,49.99,Grey; Maroon; Navy,NA,NA,NA,Product Dimensions:  20 x 11.5 x 11.2 inches; Shipping Weight:  1.7 pounds (View shipping rates and policies); ASIN:  B073ZGC7B4; ; Item model number:  20015-00021-OS; Date first available at Amazon.com:  July 27 2017; Amazon Best Sellers Rank:  #672097 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#962 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #962 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
Mia K. Farrow,MKF Collection Angelina Traveling Fancy Designer Duffle Bag by Mia K. Farrow,39.99,Black; Brown; Light Blue; Red; Taupe,NA,NA,NA,Product Dimensions:  5 x 12.5 x 10 inches; Shipping Weight:  2.27 pounds (View shipping rates and policies); ASIN:  B071NGSM7M; ; Date first available at Amazon.com:  April 26 2017; Amazon Best Sellers Rank:  #1048594 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#1473 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #1473 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
,Fred Perry Men's Pique Texture Travel Kit Bag,75.00,,NA,NA,NA,Package Dimensions:  14.2 x 5.5 x 2.7 inches; Shipping Weight:  11.4 ounces (View shipping rates and policies); ASIN:  B0744BJSYD; ; Item model number:  L2230; Date first available at Amazon.com:  July 20 2017; Amazon Best Sellers Rank:  #1947746 in Clothing Shoes & Jewelry (See Top 100 in Clothing Shoes & Jewelry)#2647 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; #2647 in Clothing Shoes & Jewelry > Luggage & Travel Gear > Travel Duffels; Average Customer Review:  Be the first to review this item,N/A,N/A,N/A,N/A,N/A
